,Preferred_Skills,max_salary,sum_salary,cnt_salary,Average_Salary,is_present
422,navigate_connections_related_databases,103044.0,509057.0,6,84842.83333333333,1
423,related_databases_proficiency_microsoft,103044.0,509057.0,6,84842.83333333333,2
426,basic_computer_skills_experience,118610.0,420903.0,5,84180.6,1
427,computer_skills_experience_using,118610.0,420903.0,5,84180.6,1
428,experience_using_microsoft_outlook,118610.0,420903.0,5,84180.6,1
441,experience_planning_layout_details,104182.0,500650.0,6,83441.66666666667,1
444,organizational_skills_proficiency_microsoft,133900.0,666173.0,8,83271.625,1
445,proficiency_microsoft_word_excel,173486.0,1413299.0,17,83135.23529411765,1
451,knowledge_microsoft_word_excel,150371.0,900488.0,11,81862.54545454546,2
458,knowledge_ability_navigate_connections,103044.0,568746.152,7,81249.45028571428,2
459,skills_experience_using_microsoft,118610.0,485403.0,6,80900.5,1
470,experience_working_government_agencies,137410.0,480546.0,6,80091.0,1
474,design_software_applications_excellent,104182.0,478463.0,6,79743.83333333333,1
475,related_design_software_applications,104182.0,478463.0,6,79743.83333333333,1
477,experience_application_code_requirements,104182.0,558189.0,7,79741.28571428571,2
484,possess_strong_computer_technology,98388.0,475893.0,6,79315.5,1
485,working_knowledge_microsoft_office,149500.0,633759.8,8,79219.975,2
496,experience_preparing_clear_concise,95000.0,395000.0,5,79000.0,1
507,proficiency_nonenglish_language_commonly,90000.0,471938.0,6,78656.33333333333,1
510,application_code_requirements_preparation,104182.0,391887.0,5,78377.4,1
511,code_requirements_preparation_technical,104182.0,391887.0,5,78377.4,2
512,field_inspections_investigations_experience,104182.0,391887.0,5,78377.4,1
513,requirements_preparation_technical_reports,104182.0,391887.0,5,78377.4,1
515,knowledge_financial_management_system,97873.0,391561.0,5,78312.2,2
519,masters_degree_social_work,83000.0,389719.0,5,77943.8,1
524,proficiency_microsoft_office_software,103044.0,1086278.256,14,77591.304,1
531,deep_knowledge_new_york,81000.0,462000.0,6,77000.0,2
532,computer_technology_skills_including,98388.0,536553.0,7,76650.42857142857,1
533,strong_computer_technology_skills,98388.0,536553.0,7,76650.42857142857,1
534,technology_skills_including_proficiency,98388.0,536553.0,7,76650.42857142857,2
535,experience_using_microsoft_office,118610.0,612227.0,8,76528.375,1
545,skills_including_proficiency_microsoft,98388.0,910719.0,12,75893.25,1
546,skills_proficiency_microsoft_word,90000.0,682948.0,9,75883.11111111111,1
558,including_proficiency_microsoft_office,98388.0,596986.0,8,74623.25,1
559,experience_speaking_publicly_making,87000.0,371805.0,5,74361.0,1
561,skills_experience_speaking_publicly,87000.0,371805.0,5,74361.0,1
572,interpersonal_skills_experience_working,137410.0,368840.0,5,73768.0,1
580,tables_analyze_large_data,98388.0,442444.0,6,73740.66666666667,1
583,ability_learn_new_technology,98388.0,439985.0,6,73330.83333333333,1
584,learn_new_technology_quickly,98388.0,439985.0,6,73330.83333333333,1
587,analyze_large_data_sets,98388.0,509444.0,7,72777.71428571429,1
596,knowledge_new_york_citys,87000.0,776871.0,11,70624.63636363637,2
610,skills_ability_maintain_professional,95270.0,406198.0,6,67699.66666666667,1
611,professional_demeanor_interacting_professional,95270.0,405897.592,6,67649.59866666667,1
612,following_academic_professional_experiences,100000.0,940281.7679999999,14,67162.98342857142,2
613,one_following_academic_professional,100000.0,940281.7679999999,14,67162.98342857142,1
637,ability_maintain_professional_demeanor,95270.0,454932.592,7,64990.370285714285,1
638,maintain_professional_demeanor_interacting,95270.0,454932.592,7,64990.370285714285,1
650,academic_professional_experiences_urban,100000.0,574493.0,9,63832.555555555555,2
656,experiences_urban_planning_transportation,100000.0,574493.0,9,63832.555555555555,1
660,professional_experiences_urban_planning,100000.0,574493.0,9,63832.555555555555,2
670,advanced_working_proficiency_microsoft,80046.0,313919.0,5,62783.8,2
675,electronic_file_systems_data,80046.0,313919.0,5,62783.8,1
677,file_systems_data_management,80046.0,313919.0,5,62783.8,1
683,proficiency_microsoft_office_program,80046.0,313919.0,5,62783.8,1
689,systems_data_management_systems,80046.0,313919.0,5,62783.8,1
691,working_proficiency_microsoft_office,80046.0,313919.0,5,62783.8,1
702,excellent_telephone_skills_professional,83500.0,301978.0,5,60395.6,1
704,telephone_skills_professional_demeanor,83500.0,301978.0,5,60395.6,1
711,experience_paralegal_legal_assistant,64307.0,294454.08,5,58890.816000000006,1
727,experience_acquired_united_states,63526.08,778607.24,14,55614.80285714286,1
728,fulltime_satisfactory_experience_acquired,63526.08,778607.24,14,55614.80285714286,1
730,satisfactory_experience_acquired_united,63526.08,778607.24,14,55614.80285714286,1
733,ba_bs_required_experience,61936.0,277318.0,5,55463.6,1
